时段,能量价格,调频容量价格,调频里程价格,小时里程
1,77.72,24.2,4.67,25.519990236218263
2,60.75,33.2,3.98,25.83261521330081
3,56.4,29.2,2.65,25.785384645213306
4,53.97,10.7,0.0,25.706811977574738
5,52.32,11.59,2.92,24.662657564705984
6,49.89,25.63,0.59,27.710418090551457
7,47.57,18.19,2.41,28.46182549286357
8,50.34,23.08,2.41,27.98466190675824
9,59.89,18.9,1.62,27.55343896202273
10,72.88,42.75,2.75,24.49180565311605
11,74.46,33.72,2.11,23.266584625639883
12,76.15,48.78,1.85,25.216789817601057
13,91.68,37.88,2.52,23.766072484978626
14,98.42,49.79,1.19,24.545395604943437
15,114.97,19.16,0.56,24.84598516905785
16,127.97,27.4,0.93,24.108133287852134
17,182.85,116.05,0.56,25.228452412273352
18,185.3,36.91,0.38,23.514734725677723
19,192.39,126.87,0.79,25.00794000759826
20,94.56,41.71,0.4,27.11637211030812
21,89.51,15.07,0.0,24.18485981034794
22,78.23,30.85,1.13,22.91388802621992
23,75.01,29.61,3.67,22.6940727589703
24,68.39,39.53,2.98,23.52766361396081
