hour,price_buy,pv_forecast,pv_actual,load_forecast,load_actual,ev_power_floor_dayahead,ev_power_actual,dayahead_net_grid,intraday_net_grid,dayahead_ev_charge,intraday_ev_charge,dayahead_pv_curt,intraday_pv_curt,dayahead_es_energy_end,intraday_es_energy_end
1,77.72,0.0,0.0,0.9057377049180311,0.9142356258172846,0.0,0.0,0.7001253276584289,0.7176155804689865,0.0,0.0,0.0,0.0,0.7101504087967977,0.7930315748627594
2,60.75,0.0,0.0,0.885831381733019,0.8831158666241605,0.0,0.0,0.9541077088959656,0.8831158876407611,1.8070536094701882e-07,0.0,1.5953974224969044e-07,1.1811164207406338e-11,0.7101517699018332,0.793031601845864
3,56.4,0.0,0.0,0.8659250585480078,0.8652865279387101,0.0,0.0,0.9439598464691029,0.8652865405459914,1.425950081571092e-08,0.0,0.0,0.0,0.7101523514399344,0.7930316291421465
4,53.97,0.0,0.0,0.8460187353629959,0.875479667158007,0.0,0.0,0.9153073429181774,0.8754797604629188,3.8346545896036936e-08,0.0,2.722349007359725e-08,1.4899195736603577e-08,0.7101528826436474,0.7930317135219854
5,52.32,0.0,0.0,0.9156908665105372,0.8855370248468712,0.0,0.0,1.1211472294309963,1.0949758790839932,0.0,0.0,0.0,0.0,0.8361315660526369,0.9919986633553884
6,49.89,0.018749999999999996,0.020829252082577573,1.025175644028101,1.0608785541639447,0.0,0.0,1.5453622997644232,1.441887988084892,0.0,0.0,0.0,0.0,1.2753295221798902,1.37374553974941
7,47.57,0.21250000000000002,0.20333879507886868,1.5725995316159238,1.5605311447789183,0.028999999999999998,0.024999999999999998,1.8825615406056968,1.6121616716202458,0.029000088207104154,0.025000995716076647,8.548588727512524e-08,0.0,1.5930676267531854,1.5922154961070374
8,50.34,0.7312499999999998,0.781312755419397,1.9906323185011694,1.9962226200511999,0.08105000000000001,0.07600000000000001,1.8411381508239482,1.31628357148231,0.08105012887841932,0.05974100465829313,1.2644260446294404e-07,0.0,1.8000001552561418,1.6317665757172755
9,59.89,1.2375,1.4768209798490535,2.3987119437939093,2.3758172543716203,0.16000000000000003,0.16000000000000003,1.7669201806510377,0.8989964386709682,0.15999982699871104,1.7180859562644186e-07,0.0,0.0,1.799999949823674,1.6317669446801752
10,72.88,1.90625,2.5545205017558303,2.4385245901639334,2.548158471858638,0.16000000000000003,0.16000000000000003,1.250514735566137,-1.4490764782307828e-06,0.09898036110903802,0.0063537740273879855,0.0,1.4997225334379253e-06,1.7999999858890778,1.6317708023838824
11,74.46,2.075,1.845107098339482,2.4385245901639334,2.531258012538443,0.16000000000000003,0.16000000000000003,0.9708699585383563,0.48068937092245095,6.298656410873647e-10,0.0,1.333095041050159e-10,0.0,1.7999999962347821,1.4154955605160677
12,76.15,2.4375,2.7490340663573494,2.4683840749414507,2.469141350473211,0.16000000000000003,0.16000000000000003,0.7501863185941612,5.890622463867191e-09,1.930463258611395e-10,0.12357805895904941,1.3262565238593442e-11,0.0,1.7999999989805355,1.563994499842976
13,91.68,2.3812499999999996,2.5291943847933793,2.090163934426228,2.0443348939530277,0.16000000000000003,0.16000000000000003,0.34997828240529266,-0.09752705967188655,6.068289650117578e-11,0.13890559198856856,4.017672705378103e-12,5.997026019185337e-10,1.7999999997138874,1.7999999958444717
