slot,energy_only_bid_p_mw,energy_only_energy_fee_usd,energy_only_battery_deg_usd,energy_only_profit_usd
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.018749999999999996,1.3781249999999996,0.0,1.3781249999999996
7,0.21250000000000002,17.8075,0.0,17.8075
8,0.34324999999999994,35.98976249999999,0.0,35.98976249999999
9,0.16750000000000084,15.488725000000077,0.0,15.488725000000077
10,0.7385833333333405,80.35786666666745,0.0,80.35786666666745
11,1.279333333333337,158.9827533333338,0.0,158.9827533333338
12,2.033833333333331,255.46980499999972,0.0,255.46980499999972
13,2.23125,324.6915000000001,0.0,324.6915000000001
14,2.03125,301.803125,0.0,301.803125
15,1.6437499999999998,262.14525,0.0,262.14525
16,0.9937499999999999,179.94825,0.0,179.94825
17,0.6125,99.078,0.0,99.078
18,0.29375000000000007,48.65675000000001,0.0,48.65675000000001
19,0.0625,10.48,0.0,10.48
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
