ev_id,type,type_label,arrival_slot,departure_slot,connected_slots,battery_kwh,charge_kw,target_soc_pct
EV_001,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
EV_002,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_003,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_004,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_005,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_006,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_007,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_008,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_009,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_010,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_011,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_012,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_013,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_014,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_015,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_016,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_017,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_018,b,"B型(60kWh,22kW)",9,18,10,60.0,22.0,83.3
EV_019,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_020,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_021,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_022,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_023,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_024,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_025,c,"C型(45kWh,7kW)",9,18,10,45.0,7.0,80.0
EV_026,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_027,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_028,b,"B型(60kWh,22kW)",10,17,8,60.0,22.0,83.3
EV_029,b,"B型(60kWh,22kW)",8,18,11,60.0,22.0,83.3
EV_030,a,"A型(75kWh,11kW)",9,18,10,75.0,11.0,90.0
EV_031,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_032,a,"A型(75kWh,11kW)",8,18,11,75.0,11.0,90.0
EV_033,a,"A型(75kWh,11kW)",10,17,8,75.0,11.0,90.0
EV_034,c,"C型(45kWh,7kW)",8,18,11,45.0,7.0,80.0
EV_035,c,"C型(45kWh,7kW)",10,17,8,45.0,7.0,80.0
