时段,能量价格,调频容量价格,调频里程价格,小时里程
1,115.08,95.56,3.67,25.292570350393028
2,83.69,41.34,1.55,25.836560332285707
3,76.85,37.97,0.64,25.731901197766238
4,68.55,33.14,2.57,25.549222170589832
5,78.71,15.41,0.75,25.18056980843926
6,108.88,100.62,2.49,28.264010348979536
7,114.51,96.87,2.52,28.585712596656556
8,98.4,95.97,2.07,28.52175102062026
9,93.96,81.05,3.47,26.47507789085604
10,108.02,84.21,2.33,23.942707385287655
11,105.19,91.34,2.93,24.036000678658525
12,149.74,146.1,0.86,25.825256150024043
13,132.17,119.49,0.83,22.891243351345487
14,129.73,152.8,2.23,23.922591931425494
15,146.51,55.26,0.98,24.32693042878369
16,137.07,46.19,0.77,23.451555013909402
17,153.68,32.89,0.96,25.29111058961768
18,130.58,12.44,0.0,22.787099972609536
19,129.63,30.98,0.75,24.647385447081295
20,109.69,94.98,0.14,26.353888160422333
21,105.18,92.33,0.0,23.969693831613977
22,103.98,90.36,2.48,22.040959374867544
23,86.47,64.82,1.82,22.955592259459678
24,80.79,59.77,2.38,23.022509164035494
