时段,日前基础功率,日前调频功率,修正后基础功率,修正后调频功率,日前利润,实际利润,日前能量费用,日前容量收益,日前里程收益,实际能量费用,实际容量收益,实际里程收益,实际里程,实际能量,实际成本,修正次数
1,-0.00011471045657763145,1.000053265634212,-0.00011471045657763145,1.000053265634212,141.08290038075972,112.86909228230357,-0.008915296685213516,23.81406840389436,117.27774727355057,-29.35678617482294,23.81406840389436,118.41181005323214,25.768138188147873,-0.3777249893826935,60.48481347548616,2.0
2,-8.982155174520645e-05,1.0000427082909151,-6.770676553792595e-10,-1.1839556675707448e-10,133.83784692751283,-3.293779200863142e-08,-0.005456659268521292,32.67019522861425,101.1731083581671,-4.1031932791625946e-08,-3.867841091273515e-09,1.1961981874268041e-08,3.0543933780355135e-09,-6.754227620020731e-10,0.0,2.0
3,-0.1645014782657457,0.8356476268098558,-0.0488861422438345,0.9511194138791255,70.91986198449598,89.11969112555812,-9.277883374188058,24.010496131602224,56.187249227081814,-4.247004208875512,27.328323895106134,66.0383714393275,25.325345696934924,-0.07530149306516866,32.8928057581132,2.0
4,1.9064234713466723e-05,-1.8081430137611366e-06,-4.503261645666016e-08,7.498575094721182e-10,0.0010098591713225108,-2.421348319391407e-06,0.001028896747485799,-1.9037576163288253e-05,-0.0,-2.429243419137137e-06,7.895099745730036e-09,0.0,2.287700338697997e-08,-4.50109953518091e-08,0.0,2.0
5,-0.28543835827820835,0.7145713949314719,-0.23081929437267534,0.7691818511992758,43.85171064156597,55.013712093793515,-14.934134905115862,8.149372347779666,50.636473198902166,-8.2919880816147,8.772180572913214,54.533519602495005,18.97953544468169,-0.15848601073422594,25.307218806520027,2.0
6,-0.27205871485317407,0.5819254046685235,-0.005080459156219791,0.04766802947260285,10.46486292089834,1.6776778864452038,-13.573009284024854,14.676112151707787,9.361760053215407,-0.26571308340022737,1.2021838898566861,0.741207079988745,1.276710555306506,-0.0053259788214116525,2.981928097181073,2.0
7,-0.1249685041390845,0.87495981438479,-2.9151082282329007e-09,-4.660778035742031e-10,68.77197914467996,-1.1210764288421494e-07,-5.944751741896249,15.66087071928078,59.055860167295435,-1.3891492246938763e-07,-8.342307963062518e-09,3.514958754823521e-08,1.4822043799647137e-08,-2.9202211996928236e-09,0.0,2.0
8,-0.28214396012208187,1.597750313225769,-0.23777840816822712,1.6422059781492584,128.1159495594734,147.84614656569516,-14.203126952545603,36.28605999358273,106.03301651843626,-9.077401455206093,37.29568015207393,119.62786786882732,50.445243341103854,-0.18032184058812262,31.919030897302935,2.0
9,-0.49634647383701636,2.26335142653955,-0.30874219439847217,0.05295125106062187,111.77850913828223,-14.82838804776526,-29.72619031809891,42.092904490211936,99.41179496616921,-18.610520889310838,0.9847661867250214,2.7973666548205554,1.7548470935088298,-0.31074504740876335,0.0,2.0
10,0.16332060310757474,3.803194889292131,0.1999911218134921,3.8399903692290946,423.94408166954076,360.81945967977447,11.902805554480047,159.9851962129628,252.05607990209793,-52.62576054735697,161.53303487199108,251.91218535514034,93.09393398194396,-0.7220878230976533,74.02992449315565,2.0
11,-0.0453810501048334,3.594402493516534,-0.34645784154983617,-0.00725925329449062,289.51977742239205,-24.447026934439094,-3.3790729908058945,119.26400004807549,173.63485036512247,-24.66755442867771,-0.2408655087527801,0.46139300299139535,0.22222527404895165,-0.3312859848063083,1.6666666666666667,2.0
12,0.03511256914039684,3.674917954842384,0.14754789079019714,3.787540062892153,347.76392113414647,406.860261070196,2.67382214004122,176.39429787181612,168.69580112228917,18.705895633298276,181.80010499959317,206.35426043730453,113.35654825165048,0.24564537929479022,59.77486876062637,2.0
13,0.5199792822685892,4.159977243298335,-0.13311336274885177,-0.007437182392134926,447.88719768050555,-10.437238492618828,47.67170059838426,155.05865896852268,245.1568381135986,-10.722785151480178,-0.2772129415098459,0.5627596003711969,0.22694847737256296,-0.11695882582330036,1.6666666666666667,2.0
14,1.0265032998842185,2.6350454035025463,0.6948566892232102,3.0978837642843766,305.86380523051224,292.37501971731217,101.02845477460478,129.09972807014552,75.73562238576193,49.357747461096075,151.7757345017396,91.24153775447648,77.92028570956863,0.5015011934677512,59.6410878639605,2.0
15,1.4156359318930185,0.4557823056823604,-0.010124592106702024,0.05827890445504735,177.58890300182458,2.660138313365234,162.75566308974032,8.59306435324404,6.2401755588402,0.6239103731054985,1.098757828408968,0.9374701118507678,1.7012741576850459,0.005426723259158898,34.803730118525294,2.0
16,0.993766043874813,1.1213505973239126e-06,0.790468072604243,0.5238107628965487,127.17229560711787,114.24519371939074,127.17224063465983,3.0233406264808395e-05,2.4739051781727728e-05,89.70178976088603,14.122776264911586,10.42062769359312,11.387170746561237,0.7009595198943973,9.194914263786979,2.0
17,0.6125822099683688,3.63997917610403,-0.0003897822067058008,-0.0003897896276421429,578.2741042127856,2.568459887233852,112.01065709271623,415.6608700526827,50.60257706738662,2.6070421040238916,-0.04451132490726475,0.005929108117225057,0.010759850677310279,0.014257818452413955,2.200000000122218,2.0
18,0.6783497548304184,0.7415528870389922,0.9106077211621985,1.4283429842548558,159.15119502865667,238.3756463069307,125.69820957007653,26.932785587639454,6.5201998709407,171.53843181618564,51.87661731606518,14.960597174679874,40.010155045677884,0.9257335769896688,94.62281925455102,2.0
19,0.06248872016711569,1.0000042327891872,-1.539776005320981e-08,-3.4246125861164643e-09,156.30306782514958,-3.371566624452615e-06,12.022204872951386,124.84060842174075,19.44025453045746,-3.021440262853547e-06,-4.2752890921978634e-07,7.740254762071835e-08,9.957104510229282e-08,-1.570476772625161e-08,0.0,2.0
20,6.672780011615333e-07,3.1650713145769276e-07,0.07535802531078656,0.5094383118208812,7.946617794358063e-05,31.240586764810597,6.309780778983458e-05,1.2990288253850759e-05,3.378081899895295e-06,4.764474706227791,20.90869323427217,5.567418824310636,14.144864899163201,0.05038573081882181,21.156669963959335,2.0
21,7.668559182709908e-07,4.249950678401384e-07,-1.4239769472208657e-13,-4.23233396917239e-14,7.494347410602967e-05,-1.3528807531803979e-11,6.864127324443639e-05,6.302200861593272e-06,0.0,-1.2901199806316168e-11,-6.276077254878108e-13,0.0,1.0258040234359685e-12,-1.4413137980467175e-13,1.8579963418333905e-13,2.0
22,9.330457032857179e-07,7.708433243470095e-08,0.015500921725556463,0.05166084453312232,7.729615445234844e-05,4.34143040242493,7.299216536804171e-05,2.340002829120756e-06,1.963986255185972e-06,1.4161603696652294,1.5682372609852744,1.3570327717744257,1.2204410135391268,0.01810252294088239,2.381352006079788,2.0
23,-9.809034428789728e-06,1.0000039433406747,5.4343528420271094e-14,1.9664519400440657e-15,111.0905933665711,4.299435230288257e-12,-0.0007357756725035175,29.136354894120295,81.9549742481233,4.063235488307555e-12,5.729501567358951e-14,1.7890472630711208e-13,4.954053031255181e-14,5.4169250610685973e-14,8.201548012439998e-12,2.0
24,-0.09079856785966423,0.9092429890177189,0.08503754395282574,0.9147721875037933,91.88683772050865,35.58236945887639,-6.209714055922436,35.36729735017651,62.729254426254585,3.721859027496675e-12,35.582369458872556,1.1155660381591914e-13,3.804380279639301e-14,5.4421099978018354e-14,8.237261278489223e-12,0.0
